,0
0,ในตอนกลางวันฉันเปรียบเธอเหมือนพระจันทร์
1,อยู่ตรงนั้นไม่ว่าจะมองจากมุมไหน
2,แต่พอหลับตาเมื่อสายแล้วเธอก็หายไป
3,ดั่งไม่เคยได้มีแม้ใคร
4,อยู่ตรงนี้
5,ในบางเวลาที่แดดส่องมาเมื่อไร
6,เจ้าดวงใจฉันลอยล่องไป
7,ไม่ทันคิด
8,ฉันรู้ว่าเราไม่เหมาะและควรเท่าไร
9,แต่ฉันขอให้เธอไม่ไปจากตรงนี้
10,เต้นรำกลางเเสงสีดำ
11,ดวงอาทิตย์ร้อน
12,แดดเช้าพ้นไป
13,เหลือเพียงเเค่เงา
14,ใต้ร่มสีเทา
15,ส่วนฉันทำได้เเค่ฝัน
16,อยากเก็บเธอไว้นานนาน
17,แม้ภาพเลือนลางลมอ่อนพัดผ่าน
18,เธอสลายหายไป
19,อาจเป็นภาพทรงจำ
20,แต่แค่นี้แล้วกัน
21,แค่เพียงแสงจันทร์
22,แล้วฉันจะกอดเธอไว้
23,มือที่ได้สัมผัส
24,กลิ่นดอกไม้ที่ทัด
25,ยังจำได้เลย
26,คุ้นเคยเท่าไร
27,ราตรีนี้เมื่อไร
28,ฉันจะมอบหัวใจ
29,ให้เธอคนที่ฉันหวัง
30,อยากเก็บเธอไว้นานนาน
31,แม้ภาพเลือนลางลมอ่อนพัดผ่าน
32,เธอสลายหายไป
33,อาจเป็นภาพทรงจำ
34,แต่แค่นี้แล้วกัน
35,แค่เพียงแสงจันทร์
36,แล้วฉันจะกอดเธอไว้
37,ในตอนกลางวันฉันเปรียบเธอเหมือนพระจันทร์
38,อยู่ตรงนั้นไม่ว่าจะมองจากมุมไหน
39,แต่พอหลับตาเมื่อสายแล้วเธอก็หายไป
40,ดั่งไม่เคยได้มีเเม้ใครอยู่ตรงนี้
41,
42,สายตาที่เธอมองฉัน
43,คำพูดดีดีเหล่านั้น
44,ที่ทำเหมือนฉันเป็นคนพิเศษ
45,เข้าใจว่าคงเป็นรัก
46,ที่เธอห่วงใยอย่างนั้นเพิ่งรู้
47,วันนี้เอง
48,ว่าหลอกกันทั้งนั้น
49,ที่เธอทำไป
50,เธอไม่เคยรักกันอย่างฉันรักเธอทั้งหัวใจ
51,นี่เธอได้ที่เธอต้องการหมดแล้วใช่ไหม
52,สะใจพอหรือยังที่เห็นฉันต้องปวดใจอย่างนี้
53,ถ้าไม่รักทำไมต้องทำเป็นรัก
54,บอกฉันที
55,ทำไมใจร้ายกับฉันอย่างนี้
56,หลอกกันทำไมไอ้คนไม่มี
57,หัวใจ
58,สะใจเธอแล้วใช่ไหม
59,ไอ้คนที่เธอหลอกใช้
60,มันยอมมันทำให้เธอ
61,ทุกอย่าง
62,รู้ตัวก็วันที่สาย
63,ก็ให้เธอไปหมดแล้วทั้งใจ
64,ไม่เหลือเลย
65,ก็หลอกกันทั้งนั้น
66,ที่เธอทำไป
67,เธอไม่เคยรักกันอย่างฉัน
68,รักเธอไปทั้งหัวใจ
69,นี่เธอได้ที่เธอต้องการหมดแล้วใช่ไหม
70,สะใจพอหรือยังที่เห็นฉันต้องปวดใจอย่างนี้
71,ถ้าไม่รักทำไมต้องทำเป็นรัก
72,บอกฉันที
73,ทำไมใจร้ายกับฉันอย่างนี้
74,หลอกกันทำไมไอ้คนไม่มี
75,หัวใจ
76,ฮู้
77,ฮือ
78,นี่เธอได้ที่เธอต้องการหมดแล้วใช่ไหม
79,สะใจพอหรือยังที่เห็นฉันต้องปวดใจอย่างนี้
80,ถ้าไม่รักทำไมต้องทำเป็นรัก
81,บอกฉันที
82,ทำไมใจร้ายกับฉันอย่างนี้
83,หลอกกันทำไมไอ้คนไม่มี
84,หัวใจ
85,สะใจพอหรือยังที่เห็นฉันต้องปวดใจอย่างนี้
86,ถ้าไม่รักทำไมต้องทำเป็นรัก
87,บอกฉันที
88,ทำไมใจร้ายกับฉันอย่างนี้
89,หลอกกันทำไมไอ้คนไม่มี
90,หัวใจ
91,
92,อื้อ
93,ฮึ อา
94,จำได้ไหมว่าเรามีนัดกัน
95,อยากคุยเรื่องนี้มันสำคัญ
96,วันที่เจ็ดเดือนสี่
97,เกือบหกเดือนตั้งแต่เราคุยกัน
98,ฝึกพูดหน้ากระจกทุกวัน
99,ต้องพูดคำไหนให้เธอมาขอกัน
100,หน้าร้อนที่แล้วเป็นแค่
101,เอ่อคนคุย
102,หน้าร้อนปีนี้ก็ยังคนคุย
103,หนาว
104,ยิ่งกว่านอนรอเขาคืนความสุขให้เรา
105,เลื่อนขั้นได้แมะ
106,เธอจะยังไง
107,พูดเลยได้ไหมจะได้ไปต่อ
108,ระวังเดี๋ยวก็โดนท่าไม้ตายหรอก (ปิ้ว ปิ้ว)
109,ใจเย็นเกินไปไหมตอบหน่อยรอหาอะไร
110,ตกลงเราคบกันแบบไหน
111,ทำให้ชัดเจนหน่อยได้ไหม
112,เธอชอบทำให้รอ รอ รอ
113,หรือต้องให้หายไปใช่ไหม
114,โชคดีนะฉันคงต้องไปก่อน
115,แป๊บนึงแม่โทรตามอะ
116,หยอกหยอก
117,ขับรถเดี๋ยวโทรกลับนะ
118,หยอกหยอก
119,เหนื่อยมากไปนอนก่อนละ (อะล้อเล่น)
120,ชอบปะละ อิอิ (ฮื้อ)
121,แป๊บนึงพ่อโทรตามอะ
122,หยอกหยอก
123,อาบน้ำเดี๋ยวโทรกลับนะ
124,หยอกหยอก
125,คงต้องไปนอนก่อนละ
126,สนใจกันบ้างยัง
127,โอม
128,ขอให้เธอนอนไม่หลับคอยให้ฉันทักไป
129,โอม
130,ขอให้เธอลองมโนว่าเราอยู่กับใคร
131,โอม
132,จัดไปแบบชุดใหญ่ไฟกระพริบ
133,แบบว่าเธอทักมาแล้วเงียบกริบ
134,ถ้ายังอยากคุยกันเอามายี่สิบ
135,หายแบบงง งง
136,หายเข้าไปในลิ้นชักโดราเอม่อน
137,แล้วเธออะยอม
138,กันได้ยัง
139,ใจเย็นเกินไปไหมตอบหน่อยรอหาอะไร
140,ตกลงเราคบกันแบบไหน
141,ทำให้ชัดเจนหน่อยได้ไหม
142,เธอชอบทำให้รอ รอ รอ
143,หรือต้องให้หายไปใช่ไหม
144,โชคดีนะฉันคงต้องไปก่อน
145,แป๊บนึงแม่โทรตามอ่ะ
146,หยอกหยอก
147,ขับรถเดี๋ยวโทรกลับนะ
148,หยอกหยอก
149,เหนื่อยมากไปนอนก่อนละ (อะล้อเล่น)
150,ชอบปะละ อิอิ (ฮื้อ)
151,แป๊บนึงพ่อโทรตามอะ
152,หยอกหยอก
153,อาบน้ำเดี๋ยวโทรกลับนะ
154,หยอกหยอก
155,คงต้องไปนอนก่อนละ
156,สนใจกันบ้างยัง
157,อื้ออือ เฮ้อ อื้อ ฮื้อ
158,
159,ไม่ค่อยเเน่ใจ
160,กับท่าทางการกระทำสีหน้าเธอที่เเสดงออก
161,บางทีก็คิดว่าใช่ เเต่บางทีก็ยังไม่ชัวร์
162,ไม่ค่อยมั่นใจ
163,เหมือนจะรู้เเต่ไม่รู้เหมือนจะชัดเต่ก็มัว
164,ไม่รู้คำตอบมันอยู่ที่ไหน
165,เคยได้ยิน
166,ที่ใครเขาพูดมา
167,อยากรู้ความจริงต้องจ้องมองที่ตา
168,เขาว่าสายตามันหลอกกันไม่ได้
169,เขาพูดกันว่าสายตามันเป็นสิ่งเดียวที่พูดเเทนหัวใจ
170,ฉันว่าสายตาเธอหลอกฉันไม่ได้
171,เธออยากจะหลอกใครก็ตามใจ
172,เเต่อย่ามาหลอกฉันเลย
173,ถามคำตอบคำ
174,ทุกทุกครั้งที่ฉันนั้นอยู่กับเธอฉันพูดไม่ออก
175,ยิ่งเธอเข้ามาอยู่ใกล้ใกล้หัวใจฉันเต้นตลอด
176,ก็เหมือนว่าเธอนั้นคิดอะไร
177,เเต่เธอไม่เคยบอกเลยอ่ะ
178,เคยได้ยิน
179,ที่ใครเขาพูดมา
180,อยากรู้ความจริงต้องจ้องมองที่ตา
181,เขาว่าสายตามันหลอกกันไม่ได้
182,เขาพูดกันว่าสายตามันเป็นสิ่งเดียวที่พูดเเทนหัวใจ
183,ฉันว่าสายตาเธอหลอกฉันไม่ได้
184,เธออยากจะหลอกใครก็ตามใจ
185,เเต่อย่ามาหลอกฉันเลย
186,เขาว่าสายตามันหลอกกันไม่ได้
187,เขาพูดกันว่าสายตามันเป็นสิ่งเดียวที่พูดเเทนหัวใจ
188,ฉันว่าสายตาเธอหลอกฉันไม่ได้ (หลอกฉันไม่ได้)
189,เธออยากจะหลอกใครก็ตามใจ
190,เเต่อย่ามาหลอกฉันเลย
191,อย่ามาหลอกฉันเลยเธอ
192,เขาพูดกันว่าสายตามันเป็นสิ่งเดียวที่พูดเเทนหัวใจ
193,ฮู้ฮู
194,อย่ามาหลอกฉันเลยเธอ
195,เธออยากจะหลอกใครก็ตามใจ
196,เเต่อย่ามาหลอกฉันเลย
197,
198,เป็นอะไรทำไมหัวใจเต้นแรงขนาดนี้
199,เป็นอะไรทำไมฉันต้องแอบเขินเมื่ออยู่กับเธอ
200,ทั้งที่เราได้พบและได้พูดคุยอยู่เสมอ
201,เป็นอะไรอะไรที่กลัวว่าเธอนั้นรู้ทัน
202,ในใจฉันเริ่มทนไม่ไหว
203,กลัวเธอจะคิดไม่เหมือนกัน
204,มันคงไม่คุ้มถ้าบอกไปอย่างนั้น
205,เก็บอาการเอาไว้ ก็คงจะใกล้เธอดี
206,เก็บเอาไว้อย่างนี้ เธอคงไม่ไปไหน
207,เก็บเอาคำว่ารักของฉัน ให้เติบโตแค่ในใจ
208,ไม่เป็นไร ไม่เป็นไร
209,เก็บมันเอาไว้ก็ใกล้เธอดี
210,ขอแค่ได้เจอในเวลาที่เธอเหงาเวลาไม่มีเขา
211,เวลาที่เราได้คุยกันยาวๆ
212,ฟังเพลงเดิมเบาๆ และคุยเรื่องเก่าๆ
213,อันที่จริงก็ยังแอบหวังให้เธอคิดเหมือนกัน
214,เลือกจะจากหรืออยากเป็นมากกว่านี้อีก
215,เก็บเธอไว้ดีกว่าเจ็บดีกว่าเก็บน้ำตา
216,ฉันยังคงรอ รอวันที่ฉันพร้อม
217,แต่ว่ามันคงจะไม่มีวัน
218,กลัวเธอจะคิดไม่เหมือนกัน
